AccountID,OwnerName,BranchID,AccountType,Balance,CreditLimit,CreatedAt,IsActive
ACC0001,Customer_0001,BR001-HCM,Savings,37206749.74,24489185.38,2021-12-04,True
ACC0002,Customer_0002,BR005-HP,Checking,2073242.63,9369523.99,2021-09-20,True
ACC0003,Customer_0003,BR005-HP,Savings,35942970.84,70132497.36,2023-04-15,True
ACC0004,Customer_0004,BR001-HCM,Savings,35057900.05,34025051.65,2021-04-25,True
ACC0005,Customer_0005,BR001-HCM,Savings,19306401.38,35897938.05,2022-10-09,True
ACC0006,Customer_0006,BR004-CT,Business,6678895.06,92229537.2,2020-09-10,True
ACC0007,Customer_0007,BR005-HP,Savings,35376305.89,4582438.37,2021-05-03,True
ACC0008,Customer_0008,BR001-HCM,Checking,14259693.35,63568444.43,2022-03-12,True
ACC0009,Customer_0009,BR002-HN,Business,13715402.19,93665458.77,2020-10-21,True
ACC0010,Customer_0010,BR005-HP,Business,12618140.79,46226021.19,2022-11-23,True
ACC0011,Customer_0011,BR003-DN,Savings,11837879.56,3210024.39,2022-07-09,True
ACC0012,Customer_0012,BR002-HN,Business,43880197.51,31467788.08,2023-07-21,False
ACC0013,Customer_0013,BR002-HN,Checking,7411700.82,74498898.21,2024-05-24,False
ACC0014,Customer_0014,BR005-HP,Checking,18418823.96,99732577.8,2021-09-16,True
ACC0015,Customer_0015,BR001-HCM,Savings,8065645.31,15998200.17,2023-10-03,False
ACC0016,Customer_0016,BR004-CT,Business,49808008.32,52911434.51,2024-01-22,True
ACC0017,Customer_0017,BR005-HP,Checking,38545637.27,34017547.3,2022-07-06,False
ACC0018,Customer_0018,BR001-HCM,Business,43854720.55,26338905.08,2024-03-17,True
ACC0019,Customer_0019,BR003-DN,Business,25629312.66,19891110.18,2022-03-18,True
ACC0020,Customer_0020,BR005-HP,Checking,24685982.55,11186772.53,2022-05-08,True
ACC0021,Customer_0021,BR002-HN,Business,47373997.54,8565345.21,2023-02-25,True
ACC0022,Customer_0022,BR002-HN,Business,24026477.72,54980359.35,2022-09-28,False
ACC0023,Customer_0023,BR002-HN,Business,37885627.23,68986763.21,2022-07-22,True
ACC0024,Customer_0024,BR004-CT,Business,22848564.0,24790561.37,2020-06-01,True
ACC0025,Customer_0025,BR005-HP,Savings,855946.53,70784094.65,2020-04-03,True
ACC0026,Customer_0026,BR003-DN,Savings,25950727.93,27847726.4,2023-04-18,True
ACC0027,Customer_0027,BR005-HP,Business,23897215.8,78461942.43,2023-04-04,True
ACC0028,Customer_0028,BR004-CT,Checking,21467141.84,46702466.8,2020-11-21,True
ACC0029,Customer_0029,BR001-HCM,Checking,36546572.63,80059251.09,2020-04-07,True
ACC0030,Customer_0030,BR005-HP,Checking,7439023.71,18348803.58,2023-04-28,True
ACC0031,Customer_0031,BR004-CT,Business,5346482.05,65214489.4,2024-01-03,True
ACC0032,Customer_0032,BR002-HN,Checking,24539235.71,21374729.92,2023-01-06,False
ACC0033,Customer_0033,BR001-HCM,Checking,13627551.38,78407060.19,2023-05-14,False
ACC0034,Customer_0034,BR002-HN,Savings,15187037.36,96870936.5,2024-12-18,True
ACC0035,Customer_0035,BR003-DN,Savings,2982045.69,47678851.71,2024-03-02,True
ACC0036,Customer_0036,BR002-HN,Savings,29954237.77,67521255.36,2021-07-04,True
ACC0037,Customer_0037,BR005-HP,Business,2467212.28,8198340.55,2024-10-17,True
ACC0038,Customer_0038,BR003-DN,Savings,33651435.75,31418386.28,2022-07-05,True
ACC0039,Customer_0039,BR004-CT,Checking,46486407.42,93573428.74,2020-08-20,True
ACC0040,Customer_0040,BR001-HCM,Business,11051138.46,26520041.48,2022-02-08,True
ACC0041,Customer_0041,BR003-DN,Savings,22190136.36,54321796.23,2022-10-26,True
ACC0042,Customer_0042,BR005-HP,Checking,46621923.95,10358650.19,2021-05-04,True
ACC0043,Customer_0043,BR005-HP,Savings,13981236.51,60482982.7,2022-04-22,True
ACC0044,Customer_0044,BR005-HP,Checking,12930501.98,90815904.62,2020-02-21,False
ACC0045,Customer_0045,BR003-DN,Savings,675511.61,77111922.3,2022-03-24,False
ACC0046,Customer_0046,BR005-HP,Business,21670502.49,966969.96,2020-12-05,True
ACC0047,Customer_0047,BR003-DN,Business,27849992.29,42978671.29,2020-05-12,True
ACC0048,Customer_0048,BR003-DN,Savings,34262301.07,66693341.06,2022-09-28,False
ACC0049,Customer_0049,BR005-HP,Business,8150390.25,92988101.57,2021-03-14,True
ACC0050,Customer_0050,BR002-HN,Business,46262121.11,78238649.61,2023-11-28,True
ACC0051,Customer_0051,BR003-DN,Savings,39475038.2,10809562.64,2020-08-08,True
ACC0052,Customer_0052,BR004-CT,Checking,15606947.93,79534549.92,2021-04-01,True
ACC0053,Customer_0053,BR004-CT,Checking,14290851.52,6942075.47,2022-06-21,False
ACC0054,Customer_0054,BR005-HP,Checking,46992238.45,11534175.19,2022-03-19,True
ACC0055,Customer_0055,BR001-HCM,Savings,30030277.12,34568711.17,2022-07-20,True
ACC0056,Customer_0056,BR004-CT,Business,9908899.34,4438653.37,2023-01-17,True
ACC0057,Customer_0057,BR003-DN,Checking,3963703.65,66423768.49,2022-10-11,True
ACC0058,Customer_0058,BR003-DN,Business,15809590.78,40839290.86,2023-12-10,True
ACC0059,Customer_0059,BR002-HN,Checking,33414006.99,37914527.71,2021-10-19,True
ACC0060,Customer_0060,BR004-CT,Business,41769395.88,30387494.93,2021-07-26,True
ACC0061,Customer_0061,BR004-CT,Checking,22386910.07,21370140.1,2023-12-06,True
ACC0062,Customer_0062,BR003-DN,Business,33360764.9,61926080.54,2020-04-22,True
ACC0063,Customer_0063,BR002-HN,Savings,7794021.13,4621371.81,2023-10-28,True
ACC0064,Customer_0064,BR004-CT,Checking,44363777.0,57567089.94,2023-08-13,True
ACC0065,Customer_0065,BR002-HN,Business,34537309.45,89265982.62,2020-07-08,True
ACC0066,Customer_0066,BR005-HP,Checking,2985810.06,24919827.97,2020-08-05,False
ACC0067,Customer_0067,BR005-HP,Business,29974889.76,95003960.84,2023-10-27,False
ACC0068,Customer_0068,BR005-HP,Checking,44911801.11,74365544.22,2023-08-09,True
ACC0069,Customer_0069,BR003-DN,Business,24487552.34,23924586.38,2023-02-23,True
ACC0070,Customer_0070,BR002-HN,Checking,17124453.06,89302683.28,2020-03-05,True
ACC0071,Customer_0071,BR004-CT,Business,8063860.7,21395287.71,2023-07-11,False
ACC0072,Customer_0072,BR004-CT,Savings,10738302.28,42014351.78,2024-12-01,False
ACC0073,Customer_0073,BR004-CT,Savings,47165712.04,29861265.24,2023-07-18,True
ACC0074,Customer_0074,BR004-CT,Savings,14010297.93,48564199.38,2023-06-22,False
ACC0075,Customer_0075,BR002-HN,Checking,46017310.22,98072197.75,2024-01-13,True
ACC0076,Customer_0076,BR001-HCM,Business,21716332.1,86685135.56,2021-01-09,False
ACC0077,Customer_0077,BR003-DN,Savings,23007616.59,33750054.81,2023-05-25,False
ACC0078,Customer_0078,BR003-DN,Savings,23780188.39,74902426.11,2020-06-08,True
ACC0079,Customer_0079,BR001-HCM,Savings,47505780.77,19936068.24,2020-10-05,True
ACC0080,Customer_0080,BR002-HN,Checking,33638212.81,56396958.19,2021-08-23,True
ACC0081,Customer_0081,BR003-DN,Savings,30491688.28,96373474.41,2020-03-10,True
ACC0082,Customer_0082,BR005-HP,Savings,46479914.84,57579672.84,2023-07-23,True
ACC0083,Customer_0083,BR001-HCM,Business,34685413.59,62724239.56,2020-12-25,True
ACC0084,Customer_0084,BR005-HP,Savings,39913247.22,56593255.54,2020-06-18,False
ACC0085,Customer_0085,BR003-DN,Savings,25545059.09,34123117.49,2023-08-04,False
ACC0086,Customer_0086,BR003-DN,Business,44632963.23,45973934.76,2021-07-06,True
ACC0087,Customer_0087,BR005-HP,Business,38844751.79,46487377.16,2024-05-11,True
ACC0088,Customer_0088,BR001-HCM,Checking,44140743.61,24386343.92,2023-10-20,False
ACC0089,Customer_0089,BR003-DN,Savings,24968171.93,32501416.79,2023-04-12,True
ACC0090,Customer_0090,BR003-DN,Checking,44075839.0,70118375.03,2022-09-01,True
ACC0091,Customer_0091,BR001-HCM,Savings,36143695.87,48857784.68,2021-12-16,False
ACC0092,Customer_0092,BR004-CT,Savings,5106140.85,22159640.05,2021-05-22,True
ACC0093,Customer_0093,BR004-CT,Business,26780635.59,42550381.27,2024-06-12,False
ACC0094,Customer_0094,BR003-DN,Checking,12944481.97,12065588.48,2021-06-04,True
ACC0095,Customer_0095,BR002-HN,Savings,37060930.35,27649962.7,2024-09-20,True
ACC0096,Customer_0096,BR001-HCM,Savings,15164199.93,36088106.91,2022-01-23,True
ACC0097,Customer_0097,BR003-DN,Savings,48727599.09,55335896.68,2021-11-28,False
